Name,Parish,Price,Bedrooms,Bathrooms,HasGarden,HasGarage,Status,Market,MarketType,PropertyType,Longitude,Latitude
"Clearview","ST_PETER_PORT","520000.00","3","1","true",,"AVAILABLE","Local","Buy","House","-2.5564469","49.4648048"
"Norfolk Lodge","ST_PETER_PORT","1950000.00","5","4","true","true","AVAILABLE","Open","Buy","House","-2.5444160","49.4576447"
"Thornton","ST_PETER_PORT","995000.00","7","3","true","true","AVAILABLE","Open","Buy","House","-2.5427580","49.4386500"
"Roseleigh","ST_SAMPSON","675000.00","4","2","true","true","AVAILABLE","Local","Buy","House","-2.5289660","49.4759960"
"Kelandale","ST_PETER_PORT","460000.00",,,"true",,"AVAILABLE","Local","Buy","Apartment","-2.5556724","49.4599245"
"Oasis","VALE","1295000.00","5","3","true","true","AVAILABLE","Local","Buy","House","-2.5254400","49.4961229"
"Chabrique","ST_ANDREW","1250000.00","5","2","true","true","AVAILABLE","Local","Buy","House","-2.5608030","49.4505860"
"Apartment 9","ST_PETER_PORT","615000.00","2","2","true",,"AVAILABLE","Local","Buy","Apartment","-2.5470717","49.4567610"
"Apt. 8","ST_PETER_PORT","440000.00","1","1",,,"AVAILABLE","Local","Buy","Apartment","-2.5472898","49.4566976"
"Apt. 11","ST_PETER_PORT","510000.00","1","1",,,"AVAILABLE","Local","Buy","Apartment","-2.5473864","49.4566628"
"Apartment 15","ST_PETER_PORT","465000.00","1","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5471210","49.4567610"
"Apartment 3","ST_PETER_PORT","450000.00","1","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5471146","49.4567610"
"Apartment 14","ST_PETER_PORT","445000.00","1","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5471210","49.4567610"
"Apt. 12","ST_PETER_PORT","510000.00","1","1",,,"AVAILABLE","Local","Buy","Apartment","-2.5473756","49.4566976"
"Apt. 13","ST_PETER_PORT","445000.00","1","1",,,"AVAILABLE","Local","Buy","Apartment","-2.5474025","49.4566943"
"Les Cerisiers","VALE","1295000.00","4","2","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5115170","49.5007880"
"Beau Sejour Flats","ST_SAMPSON","339000.00","1","1",,,"AVAILABLE","Local","Buy","Flat","-2.5308999","49.4763658"
"Pres De Moulin","ST_MARTINS","795000.00","4","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5550600","49.4451320"
"Myrtle Cottage","SARK","450000.00","2","2",,,"AVAILABLE","Open","Buy","Cottage","-2.3525383","49.4323778"
"Skyway","ST_SAMPSON","775000.00","2","2","true",,"AVAILABLE","Local","Buy","House","-2.5352768","49.4875940"
"Buttercup Cottage","ST_SAMPSON","635000.00","3","1","true",,"AVAILABLE","Local","Buy","Cottage","-2.5664729","49.4907570"
"Seaview","ST_PETER_PORT","180000.00","2","1",,,"AVAILABLE","Local","Buy","House","-2.5376340","49.4552690"
"Seaview","ST_PETER_PORT","395000.00","2","1",,,"AVAILABLE","Local","Buy","House","-2.5375190","49.4551870"
"Kilchattan","ST_MARTINS","620000.00","3","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5589881","49.4439130"
"Le Palmier","ST_PETER_PORT","1150000.00","5","4","true",,"AVAILABLE","Open","Buy","House","-2.5493670","49.4613050"
"Mont Havelet Court","ST_PETER_PORT","3195000.00","3","3","true","true","AVAILABLE","Open","Buy","Apartment","-2.5399010","49.4496410"
"Beauregard","ST_PETER_PORT","1550000.00","4","3","true","true","AVAILABLE","Open","Buy","House","-2.5420200","49.4642720"
"Maison De Haut","ST_SAVIOUR",,"5","3","true","true","AVAILABLE","Local","Buy","House","-2.6230639","49.4459310"
"Pantiles","CASTEL","875000.00","5","1","true","true","AVAILABLE","Local","Buy","House","-2.5848830","49.4853499"
"Flat 1","ST_PETER_PORT","195000.00","1","1",,,"AVAILABLE","Local","Buy","House","-2.5380630","49.4526899"
"The Willows","ST_MARTINS",,,,"true",,"AVAILABLE","Local","Buy","House","-2.5544867","49.4365536"
"Thistle Court","ST_PETER_PORT","165000.00",,,"true",,"AVAILABLE","Local","Buy","Apartment","-2.5518250","49.4638069"
"110","ST_PETER_PORT","760000.00","4","3","true",,"AVAILABLE","Local","Buy","Terraced","-2.5466009","49.4550635"
"Erin","ST_PETER_PORT","850000.00","5","2","true","true","AVAILABLE","Local","Buy","House","-2.5381908","49.4635260"
"Vivant","CASTEL","1035000.00","5","2","true",,"AVAILABLE","Local","Buy","Terraced","-2.5801120","49.4646370"
"Rozel House","ST_PETER_PORT","1575000.00","5","3","true","true","AVAILABLE","Open","Buy","Georgian","-2.5506343","49.4636471"
"Charnwood","VALE","785000.00","4","1","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5706114","49.4836189"
"Coila","CASTEL","1850000.00","6","4","true","true","AVAILABLE","Local","Buy","House","-2.6272855","49.4625868"
"Two Oaks Plot","VALE","525000.00",,,,,"AVAILABLE","Local","Buy","Bungalow","-2.5641538","49.4819936"
"La Reserve","ST_PETER_PORT","425000.00","2","1",,,"AVAILABLE","Local","Buy","Flat","-2.5355189","49.4616490"
"New Century House","ST_PETER_PORT",,,,,,"AVAILABLE","Local","Buy","Office","-2.5363209","49.4517017"
"Sous La Foret","CASTEL","990000.00","3","1","true","true","AVAILABLE","Open","Buy","House","-2.5901930","49.4742468"
"Treehaven","ST_MARTINS","865000.00","4","2","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5674329","49.4357589"
"37","ST_PETER_PORT","3200000.00","5","4","true","true","AVAILABLE","Open","Buy","House","-2.5387719","49.4416220"
"Angelic Court","ST_MARTINS","269000.00",,,"true",,"AVAILABLE","Local","Buy","Apartment","-2.5543738","49.4287107"
"Cliffville","ST_PETER_PORT","475000.00",,,"true",,"AVAILABLE","Local","Buy","Terraced","-2.5425081","49.4524839"
"Mirage","ST_SAMPSON","750000.00","4","2","true","true","AVAILABLE","Local","Buy","House","-2.5369600","49.4831659"
"Les Residences","CASTEL","845000.00","2","2","true","true","AVAILABLE","Local","Buy","Apartment","-2.5881642","49.4804855"
"3 Clifton Crest","ST_PETER_PORT","975000.00","2","2","true",,"AVAILABLE","Local","Buy","Terraced","-2.5392250","49.4535108"
"Charel","ST_SAMPSON","860000.00","4","3","true","true","AVAILABLE","Local","Buy","House","-2.5493250","49.4750767"
"Les Pres","ST_PETERS",,"6","4","true","true","AVAILABLE","Local","Buy","Cottage","-2.6296381","49.4353029"
"Ground Floor Apartment","ST_MARTINS","595000.00","2","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5466620","49.4407464"
"5, Westbourne Crescent","ST_PETER_PORT","545000.00","3","1","true",,"AVAILABLE","Local","Buy","House","-2.5474489","49.4587799"
"Hautes Espoires","ST_SAMPSON","815000.00",,,"true","true","AVAILABLE","Local","Buy","Cottage","-2.5380516","49.4841454"
"Whitborne Cottage","ST_PETER_PORT","1025000.00","4","4","true","true","AVAILABLE","Local","Buy","House","-2.5430649","49.4401938"
"Le Courtillon","ST_PETER_PORT","995000.00","3","3","true",,"AVAILABLE","Local","Buy","Georgian","-2.5328719","49.4615378"
"Ocean View","TORTEVAL","3200000.00","4","5","true","true","AVAILABLE","Local","Buy","House","-2.6561569","49.4349070"
"Les Menages","ST_SAVIOUR","945000.00",,,"true",,"AVAILABLE","Local","Buy","Cottage","-2.6356483","49.4582970"
"Les Fontaines Farm","TORTEVAL","2000000.00","5","3",,,"AVAILABLE","Local","Buy","House","-2.6585624","49.4311038"
"2 Treetops","ST_SAMPSON","430000.00","1","1","true",,"AVAILABLE","Local","Buy","Terraced","-2.5307400","49.4834290"
"New House","ST_SAMPSON","725000.00","5","1","true",,"AVAILABLE","Local","Buy","House","-2.5203700","49.4814738"
"Mont Havelet Cottage","ST_PETER_PORT","1950000.00","4","4","true","true","AVAILABLE","Open","Buy","House","-2.5399082","49.4567789"
"The Laurels","VALE","899000.00","4","2","true",,"AVAILABLE","Open","Buy","House","-2.5188679","49.4858090"
"Le Courtil Fontaine","ST_PETERS","1825000.00","6","3","true","true","AVAILABLE","Local","Buy","House","-2.6447530","49.4557700"
"Northumberland Cottage","VALE","695000.00","4","3","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5086040","49.4970288"
"Justin","VALE","599000.00",,,"true",,"AVAILABLE","Local","Buy","Bungalow","-2.5616873","49.4736720"
"The Grove","ST_PETER_PORT","495000.00","3","1","true",,"AVAILABLE","Local","Buy","House","-2.5459010","49.4585020"
"Aldersgate","CASTEL","720000.00",,,"true",,"AVAILABLE","Local","Buy","House","-2.5797683","49.4833022"
"Duval","ST_MARTINS","1295000.00","4","2","true",,"AVAILABLE","Local","Buy","House","-2.5550280","49.4449230"
"Elysium","ST_SAMPSON","545000.00","3","2","true",,"AVAILABLE","Local","Buy","Terraced","-2.5208699","49.4814549"
"La Capella","ST_PETER_PORT","1650000.00","4","2","true",,"AVAILABLE","Open","Buy","House","-2.5369299","49.4387668"
"Cartref","ST_SAMPSON","439000.00","2","1","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5433020","49.4906780"
"Bordeaux Development Site","VALE",,"3","2",,,"AVAILABLE","Local","Buy","House","-2.5076350","49.4913858"
"Parterre View","ST_SAVIOUR","899000.00","3","2","true","true","AVAILABLE","Local","Buy","House","-2.6289970","49.4548868"
"Ville Es Pies","VALE","939000.00","8","3","true","true","AVAILABLE","Local","Buy","House","-2.5161340","49.4908538"
"Railton House","ST_PETER_PORT","569000.00","4","2","true",,"AVAILABLE","Local","Buy","Terraced","-2.5365829","49.4598859"
"Camellia House","ST_PETER_PORT","715000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.5344299","49.4619840"
"Les Papillons","CASTEL","895000.00","4","2",,,"AVAILABLE","Local","Buy","House","-2.5866199","49.4775800"
"Cour Du Bordier","ST_PETER_PORT","265000.00",,,"true",,"AVAILABLE","Local","Buy","Apartment","-2.5390761","49.4523522"
"4 Mansell Court","ST_PETER_PORT","215000.00",,,"true","true","AVAILABLE","Local","Buy","Apartment","-2.5406615","49.4524667"
"Lavande","ST_PETER_PORT","699000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.5345282","49.4621690"
"Les Landes Du Bas","CASTEL","875000.00","3","2","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5665920","49.4666500"
"Alanya","CASTEL","895000.00","4","2","true","true","AVAILABLE","Local","Buy","House","-2.5771000","49.4748650"
"Rushford","ST_SAMPSON","1395000.00","5","3","true",,"AVAILABLE","Local","Buy","House","-2.5566439","49.4783139"
"4","ST_PETER_PORT","849500.00","4","2","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5451299","49.4661320"
"La Rocque","ST_MARTINS","4500000.00","5","5",,,"AVAILABLE","Local","Buy","House","-2.5366590","49.4297528"
"Chant Du Vent","VALE","795000.00","4","2","true","true","AVAILABLE","Local","Buy","House","-2.5253540","49.4992068"
"Damouettes Lodge","ST_PETER_PORT","2850000.00","4","3","true",,"AVAILABLE","Open","Buy","Terraced","-2.5428950","49.4412880"
"Le Sycomore","ST_MARTINS","459000.00","2","1",,,"AVAILABLE","Local","Buy","Apartment","-2.5466731","49.4424040"
"Pre Du Vivier","SARK","270000.00","4","1","true",,"AVAILABLE","Local","Buy","House","-2.3675239","49.4382724"
"Ch'Lisier","ST_SAMPSON","675000.00","4","2","true",,"AVAILABLE","Local","Buy","House","-2.5224435","49.4797251"
"St. James's Place","ST_PETER_PORT","1795000.00","3","3","true",,"AVAILABLE","Local","Buy","House","-2.5447799","49.4574020"
"Kookaburra","VALE","515000.00","4","1","true",,"AVAILABLE","Local","Buy","House","-2.5158600","49.4840598"
"New Beginnings","ST_PETER_PORT","369950.00","2","1","true",,"AVAILABLE","Local","Buy","Warehouse","-2.5532400","49.4549000"
"3","VALE","450000.00","2","2","true",,"AVAILABLE","Local","Buy","House","-2.5214628","49.4887159"
"Stratton House","ST_PETER_PORT","550000.00","3","1","true","true","AVAILABLE","Local","Buy","Terraced","-2.5358320","49.4606319"
"Kaduna","ST_SAVIOUR","550000.00","3","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.6281300","49.4625890"
"La Maison De Haut","CASTEL","1150000.00","4","1","true","true","AVAILABLE","Local","Buy","Farm","-2.5981120","49.4578849"
"Kudoya","ST_MARTINS","1125000.00","6","3","true","true","AVAILABLE","Local","Buy","House","-2.5421038","49.4304138"
"Rozel","ST_SAVIOUR","695000.00","3","1","true","true","AVAILABLE","Local","Buy","Cottage","-2.6335674","49.4571550"
"Lynton","ST_SAMPSON","699000.00","3","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5315202","49.4836389"
"Le Villocq","ST_SAMPSON","1450000.00","4","3","true",,"AVAILABLE","Open","Buy","Terraced","-2.5309827","49.4758420"
"Whincroft Cottage","ST_ANDREW","990000.00",,,"true",,"AVAILABLE","Local","Buy","House","-2.5738089","49.4522570"
"La Cachette","ST_PETER_PORT","659000.00","2","1","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5426294","49.4570154"
"La Plaquiere","CASTEL","1300000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.5901640","49.4776032"
"Leander","ST_SAMPSON","749000.00","3","2","true","true","AVAILABLE","Local","Buy","House","-2.5347149","49.4835769"
"The Cwtch","ST_PETER_PORT","499000.00","2","1","true","true","AVAILABLE","Local","Buy","House","-2.5405920","49.4682778"
"Edgeborough House","ST_PETER_PORT","1650000.00","3","2","true",,"AVAILABLE","Open","Buy","House","-2.5475089","49.4556048"
"Westbury Villa","VALE","625000.00","2","1","true",,"AVAILABLE","Local","Buy","House","-2.5242040","49.4870268"
"Longree House","VALE","595000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.5146000","49.4839800"
"Clos De Chene Development","ST_PETER_PORT","1800000.00","3","1","true",,"AVAILABLE","Local","Buy","House","-2.5363600","49.4639060"
"Flat 2","ST_PETER_PORT","1350000.00","2","2","true","true","AVAILABLE","Open","Buy","Apartment","-2.5484640","49.4559690"
"La Turquie","VALE","965000.00",,,"true","true","AVAILABLE","Local","Buy","Semi-Detached","-2.5077047","49.4946907"
"Unit 4 - Clifton Crest","ST_PETER_PORT","995000.00","2","2","true",,"AVAILABLE","Local","Buy","Terraced","-2.5392250","49.4535108"
"1 Clifton Crest","ST_PETER_PORT","995000.00","2","2","true",,"AVAILABLE","Local","Buy","Terraced","-2.5392250","49.4535108"
"Marbelle House","ST_PETER_PORT","695000.00","7","3","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5466060","49.4581820"
"Sercq","ST_PETER_PORT","465000.00","3","1","true",,"AVAILABLE","Local","Buy","Terraced","-2.5419820","49.4525774"
"Sancerre","ST_PETER_PORT","720000.00","4","2","true",,"AVAILABLE","Local","Buy","House","-2.5527650","49.4555318"
"St Gilgen","ST_PETER_PORT","645000.00","3","2","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5491510","49.4665540"
"Linden Grove","ST_SAMPSON","500000.00","2","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5227900","49.4841668"
"Pleiades","CASTEL","795000.00","3","1","true",,"AVAILABLE","Local","Buy","House","-2.5772590","49.4696640"
"Grange Hill","ST_PETER_PORT","695000.00","4","2","true",,"AVAILABLE","Open","Buy","Apartment","-2.5361790","49.4566000"
"5 Les Yvelins","ST_PETERS","1295000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.6330089","49.4375993"
"Le Jardin D'Amour","FOREST","1050000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.6053250","49.4245439"
"Les Rocquettes","SARK","425000.00","3","2","true",,"AVAILABLE","Open","Buy","Cottage","-2.3664233","49.4297698"
"Makunudu","VALE","1650000.00","5","3","true","true","AVAILABLE","Local","Buy","House","-2.5741450","49.4839070"
"Brock Cottage","ST_SAMPSON","675000.00","4","2","true",,"AVAILABLE","Local","Buy","Cottage","-2.5314090","49.4825950"
"Vue Des Isles","ST_PETER_PORT","265000.00","1","1",,,"AVAILABLE","Local","Buy","Apartment","-2.5359310","49.4603960"
"Elska","VALE","595000.00",,,"true","true","AVAILABLE","Local","Buy","Cottage","-2.5740034","49.4860346"
"Tudor Apartments","ST_PETER_PORT","825000.00","2","2",,,"AVAILABLE","Open","Buy","Apartment","-2.5385610","49.4533028"
"La Trigale","VALE","795000.00","3","2","true","true","AVAILABLE","Local","Buy","House","-2.5690610","49.4857480"
"La Beaverette","ST_MARTINS","720000.00","3","1","true",,"AVAILABLE","Local","Buy","House","-2.5402200","49.4322110"
"Le Coin","ST_PETER_PORT","1295000.00","3","2",,"true","AVAILABLE","Open","Buy","Terraced","-2.5396999","49.4494108"
"8","ST_PETER_PORT","390000.00","2","1","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5372029","49.4568129"
"Les Grais","ST_PETERS","4350000.00","5","4","true","true","AVAILABLE","Open","Buy","House","-2.6332119","49.4362179"
"Little Saunton","ST_PETER_PORT","525000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.5397330","49.4558268"
"L'Hirondelle","ST_MARTINS","875000.00","4","1","true",,"AVAILABLE","Open","Buy","House","-2.5427640","49.4313058"
"10","ST_SAVIOUR","795000.00","4","2","true",,"AVAILABLE","Local","Buy","Bungalow","-2.6281080","49.4554970"
"2, Clifton Terrace","ST_PETER_PORT","1095000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.5349170","49.4611628"
"Jubilee","VALE","760000.00","5","2","true",,"AVAILABLE","Local","Buy","House","-2.5329399","49.4874640"
"La Mouette","ST_PETER_PORT","550000.00","4","1","true","true","AVAILABLE","Local","Buy","House","-2.5555240","49.4612399"
"La Battue","ST_PETER_PORT","1350000.00","5","3","true","true","AVAILABLE","Open","Buy","House","-2.5426769","49.4592250"
"Lothbrok","ST_SAMPSON","635000.00","3","2","true","true","AVAILABLE","Local","Buy","House","-2.5230640","49.4827370"
"30","ST_PETER_PORT","550000.00",,,"true",,"AVAILABLE","Local","Buy","Apartment","-2.5382072","49.4527793"
"Les Residences","CASTEL","725000.00","2","2",,"true","AVAILABLE","Local","Buy","Apartment","-2.5879720","49.4803760"
"Beaumont Cottage","ST_ANDREW","1285000.00","4","3","true","true","AVAILABLE","Local","Buy","Cottage","-2.5788890","49.4513120"
"Vue De Vermerette","ST_PETER_PORT","635000.00","2","2",,,"AVAILABLE","Local","Buy","Apartment","-2.5365389","49.4663438"
"Pre De La Ville","SARK","150000.00","3","2","true",,"AVAILABLE","Open","Buy","Bungalow","-2.3561456","49.4353048"
"La Velleresse","ST_PETER_PORT","2950000.00","4","3","true",,"AVAILABLE","Open","Buy","House","-2.5372349","49.4377629"
"L'Abri","ST_PETER_PORT","975000.00","4","3","true",,"AVAILABLE","Local","Buy","House","-2.5452880","49.4598170"
"Spring House","ST_PETER_PORT","320000.00","1","1",,,"AVAILABLE","Local","Buy","Apartment","-2.5416021","49.4544450"
"Tanderra","ST_SAMPSON","1145000.00","5","4","true","true","AVAILABLE","Local","Buy","House","-2.5498718","49.4839980"
"1 Providence Place","ST_PETER_PORT","1575000.00","4","2","true",,"AVAILABLE","Open","Buy","House","-2.5503239","49.4468690"
"Mont Val","ST_PETERS","2500000.00","6","2",,,"AVAILABLE","Local","Buy","House","-2.6424070","49.4388170"
"Garden Flat","ST_PETER_PORT","340000.00","1","1","true",,"AVAILABLE","Local","Buy","Flat","-2.5507474","49.4618766"
"Rose Cottage","ST_ANDREW","945000.00","4","2","true","true","AVAILABLE","Local","Buy","Cottage","-2.5701120","49.4400010"
"Saming","ST_SAMPSON","595000.00","3","1","true",,"AVAILABLE","Local","Buy","House","-2.5292886","49.4752993"
"Rozel Villa","ST_PETER_PORT","950000.00","4","3","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5512031","49.4627498"
"Mullbury Cottage","ST_MARTINS","1125000.00","5","2","true",,"AVAILABLE","Local","Buy","House","-2.5778930","49.4339390"
"Orion House","VALE","1595000.00",,,,,"AVAILABLE",,"Buy","House","-2.5197468","49.4836110"
"Brighton","CASTEL","555000.00","2","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5888925","49.4791674"
"Le Petit Cornichon","ST_PETER_PORT","645000.00",,,"true",,"AVAILABLE","Local","Buy","Bungalow","-2.5512207","49.4482167"
"La Rocquette","CASTEL","895000.00","5","3","true","true","AVAILABLE","Local","Buy","Cottage","-2.6012629","49.4669601"
"2 Wellington Close","ST_PETER_PORT","875000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.5539800","49.4574307"
"Mont Altier Apartments","ST_PETER_PORT","495000.00","2","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5438290","49.4539100"
"Apt 8","ST_PETER_PORT","495000.00","1","1",,,"AVAILABLE","Local","Buy","Apartment","-2.5359690","49.4674528"
"Kum Ba Ya","CASTEL","649000.00","3","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.6002690","49.4660798"
"La Bruyere","SARK","210000.00","5","3","true",,"AVAILABLE","Open","Buy","Bungalow","-2.3511956","49.4332368"
"2, La Maison Rozel","ST_PETER_PORT","925000.00","3","3","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5512353","49.4627079"
"Ireckon","ST_PETERS","995000.00","4","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.6436480","49.4544039"
"Osborne","ST_MARTINS","1450000.00","4","3",,,"AVAILABLE","Local","Buy","House","-2.5631689","49.4355440"
"Kushti","ST_SAMPSON","680000.00","3","2","true","true","AVAILABLE","Local","Buy","Semi-Detached","-2.5416379","49.4892320"
"Clos De Dixcart","SARK","2500000.00",,,"true","true","AVAILABLE","Open","Buy","Terraced","-2.3624953","49.4297268"
"Les Trois Cornieres","CASTEL","1450000.00","4","3","true","true","AVAILABLE","Open","Buy","House","-2.5888719","49.4767270"
"Ardleigh","ST_MARTINS","495000.00","3","1","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5545027","49.4451189"
"Beaubush","ST_PETER_PORT","4250000.00","3","3","true",,"AVAILABLE","Open","Buy","Bungalow","-2.5352310","49.4454289"
"Eurita Apartments","CASTEL","1050000.00",,,"true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5774770","49.4802858"
"Laverstock Court","ST_PETER_PORT","375000.00","1","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5380916","49.4543820"
"Eaton Cottage","VALE","545000.00","3","1","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5149249","49.5007749"
"Lanesra","CASTEL","795000.00",,,"true","true","AVAILABLE","Local","Buy","House","-2.5843831","49.4853297"
"Victoria","ST_MARTINS","495000.00","2","1","true",,"AVAILABLE","Local","Buy","Terraced","-2.5545760","49.4455128"
"Flat 1","ST_PETER_PORT","350000.00","2","1",,,"AVAILABLE","Local","Buy","Apartment","-2.5413210","49.4527508"
"Manholme","ST_SAMPSON","725000.00","3","1","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5541361","49.4846627"
"Le Guern","ST_SAMPSON","695000.00","3","2","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5297352","49.4814642"
"Rose Cottage","ST_SAVIOUR","735000.00","3","2","true","true","AVAILABLE","Local","Buy","Cottage","-2.6371479","49.4578945"
"Valkyrie","VALE","685000.00","3","1","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5138815","49.5011061"
"La Moulliere","ST_SAMPSON","679000.00","3","1","true",,"AVAILABLE","Local","Buy","House","-2.5517816","49.4829376"
"Ciroc","ST_SAMPSON","775000.00","4","2","true","true","AVAILABLE","Local","Buy","House","-2.5347300","49.4738260"
"Autumn Cottage","ST_PETER_PORT","765000.00","3","1","true","true","AVAILABLE","Local","Buy","House","-2.5494949","49.4584440"
"Sharmel","ST_PETER_PORT","475000.00","2","1",,,"AVAILABLE","Local","Buy","Semi-Detached","-2.5387439","49.4649360"
"Roc Salt","VALE",,,,"true",,"AVAILABLE","Local","Buy","Restaurant","-2.5420813","49.5038185"
"Aphyllantes","ST_ANDREW","710000.00",,,"true","true","AVAILABLE","Local","Buy","Bungalow","-2.5761430","49.4543500"
"4 Clos Des Fontaines","ST_MARTINS","925000.00","4","2","true","true","AVAILABLE","Local","Buy","House","-2.5695980","49.4316888"
"Lillington","ST_PETER_PORT","545000.00","3","1","true",,"AVAILABLE","Local","Buy","Terraced","-2.5384636","49.4694340"
"Montana","ST_MARTINS","945000.00",,,"true","true","AVAILABLE","Local","Buy","House","-2.5502498","49.4431230"
"Aquae Sulis","VALE","625000.00","3","1","true",,"AVAILABLE","Local","Buy","House","-2.5163750","49.4990518"
"Chefoo","ST_MARTINS","495000.00","3","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5420780","49.4308418"
"Anfree","ST_PETER_PORT","4750000.00","3","3","true",,"AVAILABLE","Open","Buy","Apartment","-2.5346652","49.4595300"
"Kweto","ST_SAMPSON","445000.00","2","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5306538","49.4747940"
"No 1","CASTEL","780000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.5885440","49.4781570"
"Albion Place","ST_SAMPSON","795000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.5382989","49.4795439"
"Aux Cordiers","ST_PETER_PORT","2250000.00","4","3","true",,"AVAILABLE","Open","Buy","House","-2.5440640","49.4550709"
"La Flaquaie","ST_SAVIOUR","1095000.00","5","2","true","true","AVAILABLE","Local","Buy","House","-2.6313040","49.4512738"
"Mon Desir","ST_PETER_PORT","520000.00","2","1","true",,"AVAILABLE","Local","Buy","House","-2.5424150","49.4645090"
"La Rocque","TORTEVAL","2295000.00","5","4","true",,"AVAILABLE","Local","Buy","House","-2.6560910","49.4321819"
"Le Touzel","VALE","1465000.00","4","3","true",,"AVAILABLE","Local","Buy","House","-2.5168621","49.5015766"
"Esperance","ST_SAVIOUR","695000.00",,,"true","true","AVAILABLE","Local","Buy","Cottage","-2.6169449","49.4407021"
"10","VALE","405000.00","1","1","true",,"AVAILABLE","Local","Buy","House","-2.5214628","49.4887159"
"9","VALE","395000.00","1","1","true",,"AVAILABLE","Local","Buy","House","-2.5214628","49.4887159"
"Les Merisiers","SARK","765000.00","3","2","true",,"AVAILABLE","Open","Buy","House","-2.3575176","49.4333119"
"9, Kings Court","ST_PETER_PORT","479995.00","2","1",,,"AVAILABLE","Local","Buy","Flat","-2.5537030","49.4468858"
"Per Ardua","VALE","949500.00",,,"true",,"AVAILABLE","Local","Buy","Bungalow","-2.5740609","49.4867275"
"Le Morel","ST_MARTINS","1200000.00","4","1","true","true","AVAILABLE","Local","Buy","House","-2.5683679","49.4316990"
"Champlain","ST_PETER_PORT","835000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.5505007","49.4483693"
"Le Feugre Cobo New Build","CASTEL","1250000.00","3","3","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5869599","49.4768698"
"Vue Du Godfrey","ST_PETER_PORT","695000.00","3","3","true",,"AVAILABLE","Local","Buy","Apartment","-2.5361039","49.4678077"
"Sintra","VALE","425000.00","2","1","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5709352","49.4840468"
"Hanois House","ST_PETER_PORT","825000.00","3","2",,,"AVAILABLE","Local","Buy","Apartment","-2.5346099","49.4592839"
"Fernleigh","ST_SAMPSON","685000.00","3","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5582889","49.4793389"
"Les Gemeaux","ST_PETER_PORT","595000.00","3","2","true","true","AVAILABLE","Local","Buy","House","-2.5426590","49.4537379"
"Balkuling","ST_PETER_PORT","510000.00","4","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5429583","49.4401955"
"Brompton Place","ST_PETER_PORT","440000.00","4","2","true",,"AVAILABLE","Local","Buy","Apartment","-2.5354649","49.4633170"
